title,brand,price,rating,review
Mens Precision Vi Running Shoe,Nike,none,['3.9 out of 5 stars'],243
Mens Revolution 6 Nn |Sports Shoes-Men Sneaker,Nike,"2,845",['4.0 out of 5 stars'],"5,372"
Mens Downshifter 12 Running,Nike,"2,836",['4.0 out of 5 stars'],"1,905"
Mens Court Vision Lo NnRunning Shoe,Nike,"4,990",['3.8 out of 5 stars'],"2,843"
Mens Revolution 6 NN,Nike,"2,076",['4.0 out of 5 stars'],45
Mens Giannis Immortality 3 Ep Basketball Shoes Running Shoes,Nike,"6,995",['3.9 out of 5 stars'],12
Mens Revolution 6 Nn 4e Men's Shoes Sneaker,Nike,"3,124",['3.9 out of 5 stars'],959
Mens Venture Runner Running Shoe,Nike,"4,231",['4.3 out of 5 stars'],"3,650"
Mens Run Swift 3 SeRunning Shoe,Nike,"5,099",['5.0 out of 5 stars'],8
Mens Fly.by Mid 3 | Shoe-Men Sneaker,Nike,"4,196",['3.7 out of 5 stars'],131
Womens W Downshifter 12 Running Shoe,Nike,"3,116",['4.2 out of 5 stars'],531
Revolution 6 NN SE-White/Fuchsia Dream-Black-Blue LIGHTNING-FJ1049-100-7UK,Nike,"3,695",['5.0 out of 5 stars'],1
Mens City Rep Tr Men's Workout Shoes Running Shoe,Nike,"3,796",['3.6 out of 5 stars'],197
Mens M Zoom Court Lite 3 Sneaker,Nike,"5,690",['3.7 out of 5 stars'],66
Mens Precision ViRunning Shoe,Nike,"5,690",none,none
Mens Air Zoom Pegasus 40 PRM Running Shoes,Nike,"9,040",['4.1 out of 5 stars'],79
Mens Legend Essential 3 Next Nature Men's Running Shoes Running Shoes,Nike,"3,596",['3.0 out of 5 stars'],70
Mens Flex Experience Rn 11 Nn Running,Nike,"2,747",['3.6 out of 5 stars'],281
Mens M Mc Trainer 2 Running Shoe,Nike,"4,214",['3.7 out of 5 stars'],92
Mens Air Max Sc Men's Shoes Running Shoe,Nike,"4,676",['3.9 out of 5 stars'],14
Air Winflo 10 Men's Running Shoes,Nike,"6,956",['4.0 out of 5 stars'],80
Mens Quest 5Running Shoe,Nike,"6,290",['5.0 out of 5 stars'],1
Mens M Zoom Court Lite 3 Running Shoe,Nike,"4,727",['4.1 out of 5 stars'],53
Mens M in-Season Tr 13Running Shoe,Nike,"4,406",['3.5 out of 5 stars'],43
Mens Air Max Impact 4 Running Shoe,Nike,"5,777",['3.9 out of 5 stars'],69
Mens E-Series Ad Men's ShoesSneaker,Nike,"6,290",['4.5 out of 5 stars'],2
Renew Ride 3 Men's Road Running Shoes,Nike,"4,658",['3.9 out of 5 stars'],167
Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Nike,"4,385",['3.9 out of 5 stars'],13
Womens W Revolution 6 Nn Running Shoes,Nike,"3,987",['4.2 out of 5 stars'],"5,047"
Run Swift 3 Men's Running Shoes,Nike,"4,532",['4.0 out of 5 stars'],153
Mens Waffle Debut Running,Nike,"5,690",['4.1 out of 5 stars'],165
Womens W Air Winflo 10 Running Shoe,Nike,"6,434",['4.8 out of 5 stars'],11
Men's Revolution Running Shoes,Nike,"3,091",['4.0 out of 5 stars'],"26,039"
Rival Fly 3 Men's Road Racing Shoes,Nike,"6,228",['4.0 out of 5 stars'],6
Mens Air Winflo 9 Running Shoe,Nike,"4,587",['3.9 out of 5 stars'],245
Mens Quest 4 Running Shoe,Nike,"5,990",['4.4 out of 5 stars'],228
Womens W Downshifter 12 PRM Running Shoe,Nike,"4,658",['3.8 out of 5 stars'],12
mens Nike Air Max Impact 4 Running Shoe,Nike,"8,490",['3.5 out of 5 stars'],22
Defyallday,Nike,"4,990",['4.2 out of 5 stars'],"1,462"
Mens Revolution 6 Nn SeRunning Shoe,Nike,"3,695",['3.3 out of 5 stars'],22
Flex Plus (GS)-Violet Frost/Metallic Copper-Mint FOAM-CW7415-503-6UK,Nike,"3,105",none,none
Mens Air Zoom Vomero 16 Running Shoe,Nike,"9,986",['4.0 out of 5 stars'],317
Mens Juniper Trail 2 Nn Running Shoe,Nike,"5,818",['4.2 out of 5 stars'],26
Womens WMNS Air Max Sc Running Shoe,Nike,none,['4.3 out of 5 stars'],"2,021"
Mens Tanjun Running Shoes,Nike,"3,247",['3.9 out of 5 stars'],"12,146"
Womens W Court Vision Alta LTR Running Shoe,Nike,"5,990",['4.1 out of 5 stars'],806
Mens Motiva Running Shoes,Nike,"7,853",['4.3 out of 5 stars'],3
Air Max SYSTM Men's Shoes,Nike,"8,590",none,none
Men's Giannis Immortality 3 EP Shoes,Nike,"7,090",['5.0 out of 5 stars'],1
Flex Experience RN 11 NN-Cerulean/Valerian Blue-Peach CREAM-WHITE-DD9284-401-12UK,Nike,"2,747",['4.7 out of 5 stars'],5
Mens Air Zoom Tempo Next% Fk Running Shoe,Nike,"17,595",['3.4 out of 5 stars'],164
Boys Flex Runner 2 (Gs) Running Shoe,Nike,"2,414",['5.0 out of 5 stars'],1
Men Md Runner 2 Running Shoes,Nike,"4,619",['4.1 out of 5 stars'],"5,474"
Womens W Flex Experience Rn 11 Nn Running Shoe,Nike,"3,318.",['4.3 out of 5 stars'],312
Mens Downshifter 11 |Men-Shoes Sneaker,Nike,"3,990",['4.0 out of 5 stars'],"1,846"
Mens Quest 5 Running,Nike,"4,784",['3.9 out of 5 stars'],231
Womens WMNS Court Royale 2 Nn Running Shoe,Nike,"3,116",['4.1 out of 5 stars'],310
Womens W Zoom Court Lite 3 Running Shoe,Nike,"3,716.",['3.7 out of 5 stars'],28
Giannis Immortality 3 EP,Nike,"7,090",none,none
Mens Renew Run 4 Running Shoes,Nike,"5,022",['3.7 out of 5 stars'],67
Womens W in-Season Tr 13 Running Shoe,Nike,"4,218",['3.9 out of 5 stars'],3
Womens Womens Air Max Excee Sneaker,Nike,"6,476",['3.5 out of 5 stars'],18
Renew Ride 3-BLACK/HVOLT-DC8185-008-8UK,Nike,"4,658",none,none
Womens W Legend Essential 3 Nn Running Shoe,Nike,none,['3.3 out of 5 stars'],15
Renew Elevate III Basketball Shoes,Nike,"7,090",none,none
Womens Run Swift 3 Running Shoe,Nike,"4,973",['4.6 out of 5 stars'],44
Mens Waffle Debut Se Running Shoes,Nike,"6,290",['3.8 out of 5 stars'],12
Unisex-Child Lunarstelos (Gs) Sneaker,Nike,"3,379",['3.7 out of 5 stars'],65
Womens WMNS Waffle Debut Running Shoe,Nike,"4,100",['4.2 out of 5 stars'],107
Mens E-Series 1.0 Running Shoe,Nike,"5,826",['3.5 out of 5 stars'],13
Womens Womens Quest 5 Running Shoe,Nike,"4,117.",['4.2 out of 5 stars'],45
Mens Air Zoom Rival Fly 3 Running Shoe,Nike,"6,146",['3.7 out of 5 stars'],39
Mens M Zoom Vapor Pro 2 Hc Running Shoe,Nike,"9,899",['4.0 out of 5 stars'],5
Mens Air Max Excee Running Shoe,Nike,"6,764",['4.1 out of 5 stars'],"1,561"
womens W Nike Zoom Court Lite 3 RUNNING SHOES,Nike,"4,819",none,none
Men's Air Max Cirro Slide Sandal,Nike,"3,690",['4.1 out of 5 stars'],594
Mens Phantom Gx Academy Tf Running Shoe,Nike,"5,916",['5.0 out of 5 stars'],1
Mens Lebron Witness VII Ep Running Shoe,Nike,"5,913",['4.2 out of 5 stars'],51
Womens W Air Max Intrlk Lite Running Shoe,Nike,"5,066",['4.2 out of 5 stars'],134
Mens Full Force LoRunning Shoe,Nike,"8,490",none,none
Men's Offcourt Slide,Nike,"1,868.",['4.1 out of 5 stars'],"2,843"
Mens Air Zoom Pegasus 39 Running Shoes,Nike,"10,495",['3.9 out of 5 stars'],704
Mens Flex Experience Rn 11 Nn SeRunning Shoes,Nike,"4,419",['4.4 out of 5 stars'],6
Mens Legend Essential 2 Football Shoes,Nike,"3,146",['3.7 out of 5 stars'],161
Womens W Mc Trainer 2 Running Shoe,Nike,"3,930",['4.0 out of 5 stars'],83
Winflo 9 Shield Men's Weatherised Road Running Shoes,Nike,"9,690",none,none
