Brand,rating,price
Nike,3.9,0.00
Nike,4,2845.00
Nike,4,2836.00
Nike,3.8,4990.00
Nike,4,2076.00
Nike,3.9,6995.00
Nike,3.9,3124.00
Nike,4.3,4231.00
Nike,5,5099.00
Nike,3.7,4196.00
Nike,4.2,3116.00
Nike,5,3695.00
Nike,3.6,3796.00
Nike,3.7,5690.00
Nike,4.1,9040.00
Nike,3,3596.00
Nike,3.6,2747.00
Nike,3.7,4214.00
Nike,3.9,4676.00
Nike,4,6956.00
Nike,5,6290.00
Nike,4.1,4727.00
Nike,3.5,4406.00
Nike,3.9,5777.00
Nike,4.5,6290.00
Nike,3.9,4658.00
Nike,3.9,4385.00
Nike,4.2,3987.00
Nike,4,4532.00
Nike,4.1,5690.00
Nike,4.8,6434.00
Nike,4,3091.00
Nike,4,6228.00
Nike,3.9,4587.00
Nike,4.4,5990.00
Nike,3.8,4658.00
Nike,3.5,8490.00
Nike,4.2,4990.00
Nike,3.3,3695.00
Nike,4,9986.00
Nike,4.2,5818.00
Nike,4.3,0.00
Nike,3.9,3247.00
Nike,4.1,5990.00
Nike,4.3,7853.00
Nike,5,7090.00
Nike,4.7,2747.00
Nike,3.4,17595.00
Nike,5,2414.00
Nike,4.1,4619.00
Nike,4.3,3318.00
Nike,4,3990.00
Nike,3.9,4784.00
Nike,4.1,3116.00
Nike,3.7,3716.00
Nike,3.7,5022.00
Nike,3.9,4218.00
Nike,3.5,6476.00
Nike,3.3,0.00
Nike,4.6,4973.00
Nike,3.8,6290.00
Nike,3.7,3379.00
Nike,4.2,4100.00
Nike,3.5,5826.00
Nike,4.2,4117.00
Nike,3.7,6146.00
Nike,4,9899.00
Nike,4.1,6764.00
Nike,4.1,3690.00
Nike,5,5916.00
Nike,4.2,5913.00
Nike,4.2,5066.00
Nike,4.1,1868.00
Nike,3.9,10495.00
Nike,4.4,4419.00
Nike,3.7,3146.00
Nike,4,3930.00
Nike,3.5,3546.00
Nike,3.4,5990.00
Nike,4.2,3995.00
Nike,4.2,3846.00
Nike,4.1,10290.00
Nike,3.5,3995.00
Nike,3.9,5036.00
Nike,4,2833.00
Nike,5,2535.00
Nike,4.4,5990.00
Nike,4.3,7019.00
Nike,3,14995.00
Nike,4.4,2737.00
Nike,4.4,25498.00
Nike,5,3138.00
Nike,4.1,4414.00
Nike,4.2,5294.00
Nike,4.3,3990.00
Nike,4.5,4747.00
Nike,4.3,14995.00
Nike,4.4,10064.00
Nike,4.4,5243.00
Nike,3.6,1882.00
Nike,4,5695.00
Nike,5,2278.00
Nike,4.1,3695.00
Nike,3.7,1013.00
Nike,4,6239.00
Nike,4.2,8636.00
Nike,4.5,4990.00
Nike,4,3959.00
Nike,4.3,4328.00
Nike,3.5,8059.00
Nike,4.3,5407.00
Nike,3.6,6790.00
Nike,4.2,10795.00
Nike,4.1,5921.00
Nike,3.8,3137.00
Nike,3.4,12974.00
Nike,5,3314.00
Nike,2.9,13974.00
Nike,3.7,0.00
Nike,4.1,0.00
Nike,3.5,3244.00
Nike,3,1749.00
Nike,3.7,6057.00
Nike,5,2499.00
Nike,5,9040.00
Nike,3.9,5224.00
Nike,3.9,2799.00
Nike,4.3,5076.00
Nike,4.4,2495.00
Nike,4.9,0.00
Nike,3.7,14519.00
Nike,4.2,5544.00
Nike,5,3715.00
Nike,4.1,1819.00
Nike,3.7,6791.00
Nike,4,0.00
Nike,3.7,3182.00
Nike,3.2,3312.00
Nike,5,8695.00
Nike,3,10995.00
Nike,3.9,4049.00
Nike,4,2990.00
Nike,3.8,0.00
Nike,4.5,9377.00
Nike,3.7,4259.00
Nike,4.5,2819.00
Nike,4.5,6795.00
Nike,3.9,16995.00
Nike,4.3,2922.00
Nike,4,5695.00
Nike,3.4,3695.00
Nike,3.1,3174.00
Nike,5,17030.00
Nike,5,4414.00
Nike,4.3,3695.00
Nike,4,9796.00
Nike,4,2569.00
Nike,4.3,4729.00
Nike,4.2,1339.00
Nike,3.9,6027.00
Nike,4.5,2099.00
Nike,4,5674.00
Nike,4.6,2714.00
Nike,4.5,9433.00
Nike,4,3374.00
Nike,5,2279.00
Nike,3.7,10295.00
Nike,3.8,9255.00
Nike,3.4,2714.00
Nike,4.3,5495.00
Nike,4.3,4244.00
Nike,3.5,0.00
Nike,3.9,4695.00
Nike,4.9,7732.00
Nike,3.9,3904.00
Nike,4.1,8290.00
Nike,3.8,5099.00
Nike,3.9,1905.00
Nike,4.1,5924.00
Nike,4.4,2995.00
Nike,4.1,1170.00
Nike,4,5085.00
Nike,3.6,2652.00
Nike,4.6,0.00
Nike,4.3,0.00
Nike,4.5,4179.00
Nike,3.7,2289.00
Nike,4.4,16995.00
Nike,5,0.00
Nike,3.8,5379.00
Nike,4.5,2459.00
Nike,4.1,5995.00
Nike,3.6,6178.00
Nike,3.1,1510.00
Nike,3.5,1471.00
Nike,4.4,9158.00
Adidas,3.9,2245.00
Adidas,4.1,1656.00
Adidas,4,1050.00
Adidas,4,1458.00
Adidas,4.1,3167.00
Adidas,4.1,1709.00
Adidas,3.9,1662.00
Adidas,3.6,2193.00
Adidas,4.2,1319.00
Adidas,4.1,2013.00
Adidas,3.9,2576.00
Adidas,4,1662.00
Adidas,3.5,3695.00
Adidas,4,2084.00
Adidas,3.9,2400.00
Adidas,4,1558.00
Adidas,4,2375.00
Adidas,4.1,1657.00
Adidas,3.7,3165.00
Adidas,3.7,2064.00
Adidas,4.1,2999.00
Adidas,4.2,2709.00
Adidas,4.3,2580.00
Adidas,4.2,2864.00
Adidas,4,2579.00
Adidas,3.9,1945.00
Adidas,4.2,2359.00
Adidas,4,2017.00
Adidas,3.9,1471.00
Adidas,4.1,2119.00
Adidas,3.9,3052.00
Adidas,4.1,1747.00
Adidas,4.2,1979.00
Adidas,4.1,0.00
Adidas,4,2077.00
Adidas,3.9,1650.00
Adidas,4,3495.00
Adidas,4,0.00
Adidas,4.1,2063.00
Adidas,4,2758.00
Adidas,4.4,2605.00
Adidas,4.2,2399.00
Adidas,3.8,2800.00
Adidas,4,2325.00
Adidas,3.7,2250.00
Adidas,3.8,2225.00
Adidas,3.6,0.00
Adidas,3.7,2639.00
Adidas,3.9,1514.00
Adidas,4,3807.00
Adidas,4.3,1319.00
Adidas,4.1,2400.00
Adidas,4.2,2737.00
Adidas,4,2529.00
Adidas,4,1919.00
Adidas,3.8,8999.00
Adidas,3.9,2333.00
Adidas,4.1,5949.00
Adidas,4.1,2544.00
Adidas,3,3869.00
Adidas,4.1,3193.00
Adidas,4.3,2794.00
Adidas,3.6,2855.00
Adidas,3.8,3599.00
Adidas,3.9,3011.00
Adidas,3.9,2268.00
Adidas,4,1709.00
Adidas,4.1,2512.00
Adidas,3.9,2119.00
Adidas,3.9,2064.00
Adidas,4.2,1349.00
Adidas,4.1,1978.00
Adidas,4,0.00
Adidas,4.1,1732.00
Adidas,4.2,2300.00
Adidas,4,2292.00
Adidas,3.9,2150.00
Adidas,4,1979.00
Adidas,3.8,1807.00
Adidas,4.3,1719.00
Adidas,4.2,3349.00
Adidas,3.9,1750.00
Adidas,3.7,2357.00
Adidas,3.5,3099.00
Adidas,3.6,2879.00
Adidas,3.7,3023.00
Adidas,4.2,0.00
Adidas,4,2999.00
Adidas,4.1,2150.00
Adidas,3.9,2400.00
Adidas,3.9,2964.00
Adidas,3.3,2419.00
Adidas,3.9,4553.00
Adidas,4,2304.00
Adidas,4,2407.00
Adidas,4.1,0.00
Adidas,4,3655.00
Adidas,4,2300.00
Adidas,4.3,0.00
Adidas,4,3000.00
Adidas,3.6,3599.00
Adidas,5,2048.00
Adidas,3.7,2180.00
Adidas,4.1,1799.00
Adidas,4.3,2032.00
Adidas,4.3,0.00
Adidas,3.4,4239.00
Adidas,3.4,2241.00
Adidas,4,3799.00
Adidas,3.9,2322.00
Adidas,3.9,2500.00
Adidas,4.4,2159.00
Adidas,3.5,2793.00
Adidas,4.3,3389.00
Adidas,4.2,2199.00
Adidas,3.9,4677.00
Adidas,4,5761.00
Adidas,3.8,1439.00
Adidas,4.1,4751.00
Adidas,4.2,1349.00
Adidas,4.4,4079.00
Adidas,4,0.00
Adidas,5,1886.00
Adidas,3.7,0.00
Adidas,3.8,3999.00
Adidas,4,2225.00
Adidas,4.1,4256.00
Adidas,3.8,1935.00
Adidas,3.9,0.00
Adidas,4,1233.00
Adidas,3,2399.00
Adidas,4.1,3389.00
Adidas,4.1,2400.00
Adidas,5,1858.00
Adidas,3.6,2150.00
Adidas,3.8,2399.00
Adidas,3.8,4685.00
Adidas,4.4,0.00
Adidas,3.7,1439.00
Adidas,3.7,2208.00
Adidas,3.8,4599.00
Adidas,4,3621.00
Adidas,5,1694.00
Adidas,4,0.00
Adidas,4.3,2419.00
Adidas,4,1836.00
Adidas,3.9,2207.00
Adidas,4.1,2559.00
Adidas,3.9,2479.00
Adidas,3.9,3444.00
Adidas,3.8,2317.00
Adidas,3.9,0.00
Adidas,3.6,3629.00
Adidas,3.4,2799.00
Adidas,4.1,1934.00
Adidas,3.7,2519.00
Adidas,4.2,1619.00
Adidas,4.1,2514.00
Adidas,4.3,2645.00
Adidas,4.1,2903.00
Adidas,4.6,3839.00
Adidas,3.5,2688.00
Adidas,4.3,2399.00
Adidas,3.5,3391.00
Adidas,4,1860.00
Adidas,3.4,5042.00
Adidas,3.4,2914.00
Adidas,4.5,2250.00
Adidas,3.5,5279.00
Adidas,5,2465.00
Adidas,4.1,1499.00
Adidas,4,2805.00
Adidas,4.5,2599.00
Adidas,3.2,2137.00
Adidas,3.7,2438.00
Adidas,3.6,3359.00
Adidas,3.9,4665.00
Adidas,4.5,2659.00
Adidas,3.9,2755.00
Adidas,4.1,3629.00
Adidas,3.7,5340.00
Adidas,4,1979.00
Adidas,3.7,3023.00
Adidas,3.7,3023.00
Adidas,4,1589.00
Adidas,4.1,1944.00
Adidas,3.4,3839.00
Adidas,3.7,2344.00
Adidas,3.9,3907.00
Adidas,4.1,2636.00
Adidas,3.9,3199.00
Adidas,4,2505.00
Adidas,4.2,2742.00
Adidas,3.8,2235.00
Adidas,4.4,2623.00
Adidas,3.7,2469.00
Adidas,3.8,3359.00
Adidas,5,3499.00
Adidas,4,2755.00
Adidas,3.5,2079.00
Adidas,4.1,2225.00
Adidas,4.1,2615.00
Adidas,3.6,2199.00
Adidas,3.6,2579.00
Adidas,3.9,2458.00
Adidas,4.3,1891.00
Adidas,4.2,2552.00
Adidas,4.2,0.00
Adidas,4.3,9500.00
Adidas,4.1,0.00
Adidas,5,3219.00
Adidas,4,2199.00
Adidas,3.7,2269.00
Adidas,4.2,2800.00
Adidas,4.5,5109.00
Adidas,4,1467.00
Adidas,4,1710.00
Adidas,4.4,3919.00
